en	hi	pos
aggression	आक्रमण	N
aggressor	आक्रमणकर्ता	N
aggrieve	दुखदेना	VT
aggrieved	व्यथित	Adj
aggro	कठिनाई; हिंसात्मकबर्ताव	N
aghast	हक्काबक्का	Adj
agile	फुर्तीला	Adj
agitate	हलचलमचाना	VT
agitation	आन्दोलन{बैचेनी}	N
ago	पहले{बीताहुआ}	Adv
agog	उत्सुक	Adv
agonize	अत्यन्तपीड़ितहोना	VI
agonize	दुःखदेना	VT
agonizing	बहुतदुखी	Adj
agonizingly	बहुतअधिक	Adv
agony	व्यथा	N
agony aunt	सलाहकार{व्यक्तिगतसमस्याओंकेपत्रादिमेंहलदेनेवाला}	N
agony column	सलाहकारकालम{समाचार पत्र का वह स्थान जिसमे व्यक्तिगत समस्याओ के लिए सलाह दी जाती है}	N
agoraphobia	भीड़ से डर लगना	N
agoraphobic	भीड़ के डर से पीडित व्यक्ति	Adj
agrarian	भूमिविषयक	Adj
agree	सहमतहोना	VI
agreeable	रुचिकर; सहमत	Adj
agreeably	सहमतिसे	Adv
agreement	राज़ीनामा; सहमति; अन्विति{व्याकरण में संख्या; लिंग या वचन में समानता}	N
agricultural	कृषीसम्बन्धी	Adj
agriculture	खेती{कृषि}	N
agronomy	कृषिशास्त्र	N
agronomist	कृषिशास्त्री	N
aground	भूग्रस्त	Adv
ah	विस्मय	Interj
aha	आहा	Interj
ahem	अहाँ!{आश्चर्ययाअविश्वाससूचकअव्ययजोलेखनमेंप्रयोगकियाजाता है}	Interj
ahead	आगे	Adv
aid	मदद; साधन	N
aid	मददकरना	VT
aide	सहायक	N
aide-de-camp	संदेशवाहक	N
aids	एड्स{बीमारी}	N
ail	कष्ट देना{दु:ख देना}	V
ailing	रोगी{बीमार}	Adj
aileron	सहपक्ष{हवाई जहाज के पीछे की पतवार}	N
ailment	बीमारी	N
aim	लक्ष्य	N
aim	लक्षितकरना; निशानाबनाना	V
aimless	लक्ष्यरहित	Adj
ain't	नही है[हैं]	Abbr:am/is/are not
air	वायु; हवाईजहाज; रंग-ढंग	N
air-bed	हवा भरा गद्दा	N
air-brake	वायु रोक{हवा खीचकर पहियो को रोकने का साधन}	N
air chief marshal	एअरचीफ़मार्शल{वायुसेनाकाबहुतउच्चअधिकारी}	N
air commodore	एअरकौमोडोर{वायुसेनाकाउच्चअधिकारी}	N
air-conditioning	वातानुकूलन	N
air-conditioned	वातानुकूलित	Adj
air-cooled	वायु-शीतित	Adj
air hostess	विमान परिचारिका	N
air force	वायु सेना	N
air letter	हवाई पत्र	N
airpocket	हवाई गर्त्त{हवाई पाँकेट}	N
air pump	वायु पम्प	N
air raid	हवाई हमला	N
air rifle	एकप्रकारकीबन्दूक	N
air-sea rescue	वायु मार्ग द्वारा समुद्र के व्यक्तियो को बचाना	N
air speed	वायुयानकीगति	N
air terminal	एअर टर्मिनल	N
air-to-air	हवाई-से-हवाई	Adj
aircraft	वायुयान	N
air vice marshal	एअर वाइस मार्शल{वायुसेनाकाउच्चअधिकारी}	N
air	हवा देना; व्यक्तकरना	VT
airing cupboard	कपडो को हवा देने वाली अलमारी	N
airs	अकड़	N
airbase	हवाई अड्डा	N
airborne	वायुवाहित	Adj
airbrush	पुताई गन	N
airbus	एअर बस{एकप्रकारकाहवाईजहाज}	N
aircraft carrier	जहाज़{हवाई जहाज को ले जाने वाला}	N
aircraftman	एयरक्राफ्टमैन{वायुसेनामेंएकपद}	N
aircraftwoman	एयरक्राफ्टवुमैन{वायुसेनामेंएकपद}	N
airfield	हवाई क्षेत्र	N
airgun	हवाईबन्दूक	N
airless	घुटन भरा	Adj
airlift	हवाई जहाज द्वारा मदद करना	N
airlift	हवाई जहाज द्वारा लोगो या सामानों को लाना-लेजाना	V
airline	हवाई कंपनी	N
airlock	वायुबन्ध	N
airmail	हवाई डाक	N
airman	वायुसैनिक	N
airplane	हवाई जहाज	N
airport	विमानपत्तन	N
airship	हवाई पोत	N
airsick	हवाई सफर से बीमार	Adj
airsickness	हवाई सफर से हुई बीमारी	N
airspace	हवाई क्षेत्र	N
airstrip	हवाई पट्टी	N
airtight	वायु रोधक	Adj
airway	वायु मार्ग	N
airwoman	वायुसैनिक{स्त्री.}जो अफसर पद से नीचे हो	N
airworthy	उडने योग्य	Adj
airworthiness	उडने-योग्य	N
airy	हवादार	Adj
airily	बेपरवाहीसे	Adv
airy-fairy	अव्यवहारिक	Adv
aisle	गलियारा; रास्ता	N
ajar	अधखुला	Adv
akin	सदृश	Adj
akimbo	कमर पर हाथ रखे हुए	Adv
aka	ऐसा भी जाना जाता है	Abbr:also known as
a la	की शैली में	Prep
alabaster	खडिया मिट्टी	N
a la carte	व्यंजन सूची से	Adj
alacrity	तत्परता	N
a la mode	फैशन प्रिय	Adj
alarm	खतरे का संकेत; संकट-घंटी	N
alarmed	भयभीत; सतर्क	Adj
alarming	भयप्रद	Adj
alarmingly	खतरनाकढंगसे	Adv
alarmist	भयप्रसारक	N
a'larm clock	अलार्म घडी	N
alas	ओह{हाय}	Interj
albataross	एक बडीँ समुद्री चिड़िया; मुसीबत{वह चीज जो हमेशा कष्ट एवं बाधा उत्पन्न करती है}	N
albeit	यद्यपि	Conj
albino	एलबीनो{रंजकहीनव्यक्ति}	N
album	एलबम; संग्रहपुस्तक	N
albumen	अण्डे का सफेदांश	N
alchemy	कीमिया{रसायन विद्या से सम्बंधित}	N
alchemist	कीमियागर	N
alcohol	मद्यसार{अलकोहल}	N
alcoholic	शराबी	Adj
alcoholism	मदात्यय	N
alcove	आला{कुँज}	N
alder	एक प्रकार का वृक्ष	N
alderman	पौर मुख्य	N
ale	शराब{जौ की बनी}	N
alehouse	शराब की दुकान	N
alert	सतर्क	Adj
a level	उच्च स्तरीय	N
alfalfa	चारा	N
alfresco	ताजी हवा मे{खुले मे}	Adj
algae	शैवाल{समुद्र की काई}	N
algal	शैवालयुक्त	Adj
algebra	बीजगणित	N
algorithm	गणित के सवालों को हल करने के नियमों की प्रणाली	N
alias	उपनाम	N
alibi	बहाना	N
alien	पराया	Adj
alien	अन्यदेशी	N
alienate	विमुखकरना	VT
alienation	अन्यसंक्रामण	N
alight	उज्जवल {चमकदार}	Adj
alight	नीचेआना; उतरना	V
align	पँक्तिलगाना; सम्मिलित करना	VT
alignment	संलेखन; सीध; सम्मिलित	N
alike	समानरूपसे	Adv
alike	समान	Adj
alimentary canal	आहार नली	N
alimony	परित्यक्तापत्नीकेलियेवृत्तियाजीविका	N
alive	जीवित; फुर्तीला; के विषय में सचेत	Adj
alkali	क्षार{खट्टापन हटाने का पदार्थ}	N
alkaline	क्षारीय{क्षार के गुण वाला}	Adj
alkaloid	क्षाराभ{वनस्पतियो का मूल तत्व}	N
all	सारा	Adj
all	पूर्ण रुप से	Adv
all	सबकुछ	N
all-round	चौतरफा	Adj
all-clear	सब ठीक है का संकेत	N
