首	neck; counter for songs and poems	しゅ	くび	N3	2	9
原	meadow; original; primitive; field	げん	はら	N3	2	10
夏	summer	か・が・げ	なつ	N4	2	10
家	house; home; family; professional	か・け	いえ・や・うち	N4	2	10
帰	homecoming; arrive at; lead to; result in	き	かえ.る・かえ.す・おく.る・とつ.ぐ	N4	2	10
弱	weak; frail	じゃく	よわ.い・よわ.る・よわ.まる・よわ.める	N2	2	10
時	time; hour	じ	とき・-どき	N5	2	10
書	write	しょ	か.く・-が.き・-がき	N5	2	10
紙	paper	し	かみ	N4	2	10
記	scribe; account; narrative	き	しる.す	N3	2	10
通	traffic; pass through; avenue; commute	つう・つ	とお.る・とお.り・-とお.り・-どお.り・とお.す・とお.し・-どお.し・かよ.う	N4	2	10
馬	horse	ば	うま・うま-・ま	N3	2	10
高	tall; high; expensive	こう	たか.い・たか・-だか・たか.まる・たか.める	N5	2	10
強	strong	きょう・ごう	つよ.い・つよ.まる・つよ.める・し.いる・こわ.い	N4	2	11
教	teach; faith; doctrine	きょう	おし.える・おそ.わる	N4	2	11
理	logic; arrangement; reason; justice	り	ことわり	N4	2	11
細	dainty; get thin; taper; slender	さい	ほそ.い・ほそ.る・こま.か・こま.かい	N2	2	11
組	association; braid; plait; construct	そ	く.む・くみ・-ぐみ	N3	2	11
船	ship; boat	せん	ふね・ふな-	N3	2	11
週	week	しゅう		N4	2	11
野	plains; field; rustic; civilian life	や・しょ	の・の-	N4	2	11
雪	snow	せつ	ゆき	N3	2	11
魚	fish	ぎょ	うお・さかな・-ざかな	N4	2	11
鳥	bird; chicken	ちょう	とり	N4	2	11
黄	yellow	こう・おう	き・こ-	N2	2	11
黒	black	こく	くろ・くろ.ずむ・くろ.い	N4	2	11
場	location; place	じょう・ちょう	ば	N4	2	12
晴	clear up	せい	は.れる・は.れ・は.れ-・-ば.れ・は.らす	N3	2	12
朝	morning; dynasty; regime; epoch	ちょう	あさ	N4	2	12
番	turn; number in a series	ばん	つが.い	N3	2	12
答	solution; answer	とう	こた.える・こた.え	N4	2	12
絵	picture; drawing; painting; sketch	かい・え		N3	2	12
買	buy	ばい	か.う	N4	2	12
道	road-way; street; district; journey	どう・とう	みち・いう	N4	2	12
間	interval; space	かん・けん	あいだ・ま・あい	N5	2	12
雲	cloud	うん	くも・-ぐも	N2	2	12
園	park; garden; yard; farm	えん	その	N3	2	13
数	number; strength; fate; law	すう・す・さく・そく・しゅ	かず・かぞ.える・しばしば・せ.める・わずらわ.しい	N3	2	13
新	new	しん	あたら.しい・あら.た・あら-・にい-	N4	2	13
楽	music; comfort; ease	がく・らく・ごう	たの.しい・たの.しむ・この.む	N4	2	13
話	tale; talk	わ	はな.す・はなし	N5	2	13
遠	distant; far	えん・おん	とお.い	N3	2	13
電	electricity	でん		N5	2	13
歌	song; sing	か	うた・うた.う	N4	2	14
算	calculate; divining; number; abacus	さん	そろ	N2	2	14
聞	hear; ask; listen	ぶん・もん	き.く・き.こえる	N5	2	14
語	word; speech; language	ご	かた.る・かた.らう	N5	2	14
読	read	どく・とく・とう	よ.む・-よ.み	N5	2	14
鳴	chirp; cry; bark; sound	めい	な.く・な.る・な.らす	N3	2	14
線	line; track	せん	すじ	N2	2	15
親	parent; intimacy; relative; familiarity	しん	おや・おや-・した.しい・した.しむ	N4	2	16
頭	head; counter for large animals	とう・ず・と	あたま・かしら・-がしら・かぶり	N3	2	16
曜	weekday	よう		N4	2	18
顔	face; expression	がん	かお	N3	2	18
丁	street; ward; town; counter for guns, tools, leaves or cakes of something	ちょう・てい・ちん・とう・ち	ひのと	N1	3	2
予	beforehand; previous; myself; i	よ・しゃ	あらかじ.め	N3	3	4
化	change; take the form of; influence; enchant	か・け	ば.ける・ば.かす・ふ.ける・け.する	N3	3	4
区	ward; district	く・おう・こう		N2	3	4
反	anti-	はん・ほん・たん・ほ	そ.る・そ.らす・かえ.す・かえ.る・-かえ.る	N3	3	4
世	generation; world; society; public	せい・せ・そう	よ	N4	3	5
主	lord; chief; master; main thing	しゅ・す・しゅう	ぬし・おも・あるじ	N4	3	5
仕	attend; doing; official; serve	し・じ	つか.える	N4	3	5
他	other; another; the others	た	ほか	N3	3	5
